"","TID","SID","TypeDescription"
"1",1,1,"Atmospheric Science"
"2",2,1,"Oceanography"
"3",3,2,"Fisheries"
"4",4,3,"Fisheries"
"5",5,4,"Fisheries"
"6",6,4,"Community"
"7",7,5,"Community"
"8",8,5,"Conservation/Restoration"
"9",9,6,"Community"
"10",10,6,"Water quality"
"11",11,6,"Oceanography"
"12",12,7,"Community"
"13",13,7,"Resilience"
"14",14,8,"Conservation/Restoration"
"15",15,8,"Corals"
"16",16,8,"Research"
"17",17,9,"Research"
"18",18,9,"Education"
"19",19,10,"Corals"
"20",20,10,"Fisheries"
"21",21,11,"Corals"
"22",22,11,"Research"
"23",23,12,"Conservation/Restoration"
"24",24,13,"Conservation/Restoration"
"25",25,13,"Corals"
"26",26,14,"Conservation/Restoration"
"27",27,15,"Urban heat"
"28",28,15,"Community"
"29",29,15,"Resilience"
"30",30,16,"Community"
"31",31,16,"Resilience"
"32",32,17,"Urban heat"
"33",33,17,"Community"
"34",34,17,"Resilience"
"35",35,18,"Community"
"36",36,18,"Resilience"
"37",37,19,"Urban heat"
"38",38,19,"Community"
"39",39,19,"Resilience"
"40",40,20,"Community"
"41",41,20,"Resilience"
"42",42,21,"Conservation/Restoration"
"43",43,21,"Corals"
"44",44,22,"Conservation/Restoration"
"45",45,23,"Coastal economy"
"46",46,23,"Community"
"47",47,23,"Conservation/Restoration"
"48",48,23,"Resilience"
"49",49,23,"Research"
"50",50,24,"Coastal economy"
"51",51,24,"Community"
"52",52,24,"Conservation/Restoration"
"53",53,24,"Resilience"
"54",54,24,"Research"
"55",55,25,"Coastal economy"
"56",56,25,"Community"
"57",57,25,"Conservation/Restoration"
"58",58,25,"Resilience"
"59",59,25,"Research"
"60",60,26,"Coastal economy"
"61",61,26,"Community"
"62",62,26,"Conservation/Restoration"
"63",63,26,"Resilience"
"64",64,26,"Research"
"65",65,27,"Oceanography"
"66",66,28,"Community"
"67",67,28,"Education"
"68",68,29,"Resilience"
"69",69,29,"Urban heat"
